10,1,-1.000000000000000
11,2,0.707106781186548
12,3,0.707106781186548
13,4,0.707106781186548
14,5,-0.866025403784439
15,5,-0.500000000000000
16,6,-0.866025403784439
17,6,-0.500000000000000
18,7,-0.866025403784439
19,7,-0.500000000000000
20,8,0.707106781186547
21,9,0.707106781186548
22,10,-1.000000000000000
23,11,-0.707106781186548
24,12,-0.707106781186548
25,13,-0.707106781186548
26,14,-0.866025403784439
26,15,-0.500000000000000
27,16,-0.866025403784439
27,17,-0.500000000000000
28,18,-0.866025403784439
28,19,-0.500000000000000
29,20,-0.707106781186547
30,21,-0.707106781186548
