7,1,0.707106781186548
8,2,0.612372435695795
9,2,0.353553390593274
4,3,-0.500000000000000
3,4,0.500000000000000
6,5,-0.500000000000000
5,6,0.500000000000000
1,7,0.707106781186548
2,8,0.612372435695795
2,9,0.353553390593274
18,10,0.612372435695795
19,10,0.353553390593274
20,11,0.612372435695795
21,11,0.353553390593274
13,12,-0.500000000000000
12,13,0.500000000000000
16,14,-0.500000000000000
17,15,-0.500000000000000
14,16,0.500000000000000
15,17,0.500000000000000
10,18,0.612372435695795
10,19,0.353553390593274
11,20,0.612372435695795
11,21,0.353553390593274
28,22,0.707106781186548
29,23,0.612372435695795
30,23,0.353553390593274
25,24,-0.500000000000000
24,25,0.500000000000000
27,26,-0.500000000000000
26,27,0.500000000000000
22,28,0.707106781186548
23,29,0.612372435695795
23,30,0.353553390593274
