2,1,0.707106781186548
1,2,0.707106781186548
5,3,-0.500000000000000
6,4,-0.500000000000000
3,5,0.500000000000000
4,6,0.500000000000000
8,7,0.612372435695795
9,7,0.353553390593274
7,8,0.612372435695795
7,9,0.353553390593274
11,10,-0.500000000000000
10,11,0.500000000000000
15,12,-0.707106781186548
17,13,-0.707106781186548
12,15,-0.707106781186548
13,17,-0.707106781186548
20,18,-0.500000000000000
21,19,-0.500000000000000
18,20,0.500000000000000
19,21,0.500000000000000
23,22,0.707106781186548
22,23,0.707106781186548
26,24,-0.500000000000000
27,25,-0.500000000000000
24,26,0.500000000000000
25,27,0.500000000000000
29,28,0.612372435695795
30,28,0.353553390593274
28,29,0.612372435695795
28,30,0.353553390593274
