4,1,-0.707106781186548
6,2,0.500000000000000
7,3,0.500000000000000
1,4,0.707106781186548
9,5,0.707106781186548
2,6,0.500000000000000
3,7,0.500000000000000
5,9,-0.707106781186548
13,10,0.500000000000000
16,11,0.612372435695795
17,11,-0.353553390593274
18,12,0.612372435695795
19,12,-0.353553390593274
10,13,0.500000000000000
20,14,-0.250000000000000
21,14,-0.433012701892219
20,15,0.433012701892219
21,15,-0.250000000000000
11,16,-0.612372435695795
11,17,0.353553390593274
12,18,-0.612372435695795
12,19,0.353553390593274
14,20,-0.250000000000000
15,20,0.433012701892219
14,21,-0.433012701892219
15,21,-0.250000000000000
25,22,-0.707106781186548
27,23,0.500000000000000
28,24,0.500000000000000
22,25,0.707106781186548
30,26,0.707106781186548
23,27,0.500000000000000
24,28,0.500000000000000
26,30,-0.707106781186548
